# left: rho: 1.0; u: 0.0; p: 1.0
# right: rho: 0.125; u: 0.0; p: 0.1
# gamma = 1.4
# time = 0.2
#          x                   rho                   u                    p                    e          
            0.73046875         0.2655737117           0.92745262         0.3031301781          2.853540888
            0.73828125         0.2655737117           0.92745262         0.3031301781          2.853540888
            0.74609375         0.2655737117           0.92745262         0.3031301781          2.853540888
            0.75390625         0.2655737117           0.92745262         0.3031301781          2.853540888
            0.76171875         0.2655737117           0.92745262         0.3031301781          2.853540888
            0.76953125         0.2655737117           0.92745262         0.3031301781          2.853540888
            0.77734375         0.2655737117           0.92745262         0.3031301781          2.853540888
            0.78515625         0.2655737117           0.92745262         0.3031301781          2.853540888
            0.79296875         0.2655737117           0.92745262         0.3031301781          2.853540888
            0.80078125         0.2655737117           0.92745262         0.3031301781          2.853540888
            0.80859375         0.2655737117           0.92745262         0.3031301781          2.853540888
            0.81640625         0.2655737117           0.92745262         0.3031301781          2.853540888
            0.82421875         0.2655737117           0.92745262         0.3031301781          2.853540888
            0.83203125         0.2655737117           0.92745262         0.3031301781          2.853540888
            0.83984375         0.2655737117           0.92745262         0.3031301781          2.853540888
            0.84765625         0.2655737117           0.92745262         0.3031301781          2.853540888
            0.85546875                0.125                    0                  0.1                    2
            0.86328125                0.125                    0                  0.1                    2
            0.87109375                0.125                    0                  0.1                    2
            0.87890625                0.125                    0                  0.1                    2
            0.88671875                0.125                    0                  0.1                    2
            0.89453125                0.125                    0                  0.1                    2
            0.90234375                0.125                    0                  0.1                    2
            0.91015625                0.125                    0                  0.1                    2
            0.91796875                0.125                    0                  0.1                    2
            0.92578125                0.125                    0                  0.1                    2
            0.93359375                0.125                    0                  0.1                    2
            0.94140625                0.125                    0                  0.1                    2
            0.94921875                0.125                    0                  0.1                    2
            0.95703125                0.125                    0                  0.1                    2
            0.96484375                0.125                    0                  0.1                    2
            0.97265625                0.125                    0                  0.1                    2
            0.98046875                0.125                    0                  0.1                    2
            0.98828125                0.125                    0                  0.1                    2
            0.99609375                0.125                    0                  0.1                    2
